index,Paris,Londres,Madrid,Berlin,Milan,Barcelone,Athenes,Rome,Birmingham,Lisbonne,Naples,Katowice,Manchester,Hambourg,Budapest,Bucarest,Varsovie,Stuttgart,Vienne,Munich,Bruxelles,Stockholm,Francfort,Cologne,Copenhague,Valence,Turin,Glasgow,Prague,Lyon,Sofia,Liverpool,Porto,Seville,Dublin,Helsinki,Amsterdam,Rotterdam,Dusseldorf,Essen-Oberhausen,Lille,Lodz,Marseille,Anvers,Bilbao,Newcastle,Cracovie,Bochum-Herne,Thessalonique,Nuremberg,Riga,Duisbourg,Dortmund,Hanovre,Zurich,Oslo,Breme,Dresde,Sheffield,Palerme,Poznan,Gelsenkirchen-Bottrop,Bordeaux,Wroclaw,Goteborg-Gothembourg,Saragosse,Genes,Catane,La Haye,Toulouse,Bristol,Vilnius,Sarrebruck,Malaga,Nantes,Leeds,Nottingham,Florence,Gdansk,Leipzig,Mannheim,Belfast,Portsmouth,Venise,Edimbourg ,Murcie,Nice,Liege,Bratislava,Leicester,Karlsruhe,Bergame,Palma,Bologne,Bielefeld,Rouen,Strasbourg,Tallinn,Szczecin,Grenoble,Bari,Toulon,Brighton,Darmstadt,Wuppertal,Utrecht,Bournemouth,Middlesbrough,Geneve,Bydgoszcz,Bale,Kaunas,Brno,Southampton,Lens,Augsbourg,Padoue,Ostrava,Las Palmas de Grande Canarie,Constanta,Castellammare di Stabia-Torre Annunziata,Stoke,Santa Cruz de Tenerife,Lublin,Cardiff,Iasi,Plovdiv,Bradford,Alicante,Cluj-Napoca,Grenade,Timisoara,Brescia,Galati,Montpellier,Varna,Verone,Busto Arsizio,Valladolid,Eindhoven,Charleroi,Cordoue,La Corogne,Craiova,Caserte,Coventry,Brasov,Bonn,La Valette,Gand,Gdynia
Paris,0.0,10733.0,2404.0,4723.0,2713.0,1696.0,957.0,6116.0,171.0,807.0,979.0,27.0,401.0,792.0,827.0,549.0,1019.0,430.0,4115.0,1861.0,5860.0,912.0,1031.0,840.0,618.0,704.0,1019.0,251.0,963.0,12977.0,305.0,214.0,366.0,340.0,383.0,324.0,1956.0,348.0,405.0,95.0,5237.0,99.0,7482.0,1275.0,164.0,77.0,294.0,47.0,80.0,173.0,125.0,24.0,113.0,232.0,1224.0,368.0,104.0,494.0,41.0,163.0,63.0,13.0,6802.0,54.0,113.0,82.0,462.0,41.0,588.0,5708.0,144.0,101.0,186.0,71.0,3860.0,100.0,45.0,1601.0,43.0,660.0,177.0,42.0,32.0,1758.0,134.0,30.0,4749.0,1350.0,87.0,104.0,173.0,74.0,90.0,633.0,26.0,3678.0,4946.0,49.0,10.0,2379.0,59.0,1193.0,70.0,128.0,23.0,187.0,15.0,2.0,3638.0,11.0,937.0,26.0,50.0,61.0,591.0,131.0,245.0,13.0,2.0,11.0,5.0,14.0,2.0,46.0,52.0,56.0,21.0,32.0,58.0,60.0,136.0,25.0,79.0,21.0,3012.0,65.0,198.0,2.0,56.0,55.0,191.0,44.0,40.0,24.0,5.0,22.0,12.0,329.0,51.0,753.0,5.0
Londres,10733.0,0.0,913.0,2484.0,1022.0,648.0,520.0,1673.0,712.0,428.0,411.0,14.0,1064.0,587.0,360.0,150.0,384.0,195.0,1671.0,768.0,1802.0,668.0,506.0,327.0,367.0,81.0,285.0,688.0,435.0,684.0,119.0,792.0,145.0,132.0,911.0,325.0,1221.0,281.0,202.0,45.0,308.0,21.0,450.0,497.0,64.0,279.0,72.0,45.0,53.0,120.0,56.0,9.0,39.0,183.0,559.0,261.0,75.0,256.0,239.0,73.0,29.0,8.0,373.0,23.0,63.0,37.0,179.0,16.0,318.0,271.0,577.0,39.0,18.0,35.0,230.0,381.0,226.0,650.0,29.0,273.0,53.0,226.0,203.0,667.0,457.0,4.0,279.0,198.0,34.0,314.0,50.0,27.0,30.0,175.0,8.0,189.0,254.0,30.0,4.0,115.0,21.0,94.0,337.0,54.0,11.0,111.0,73.0,23.0,786.0,7.0,266.0,10.0,20.0,230.0,18.0,48.0,65.0,24.0,3.0,5.0,2.0,128.0,4.0,25.0,245.0,7.0,7.0,103.0,29.0,17.0,69.0,7.0,31.0,3.0,189.0,11.0,63.0,0.0,14.0,33.0,45.0,14.0,8.0,1.0,2.0,159.0,2.0,115.0,20.0,189.0,4.0
Madrid,2404.0,913.0,0.0,482.0,730.0,2760.0,130.0,1051.0,28.0,500.0,241.0,9.0,389.0,263.0,110.0,96.0,114.0,222.0,371.0,473.0,408.0,132.0,137.0,88.0,108.0,972.0,180.0,83.0,136.0,242.0,236.0,230.0,209.0,1024.0,66.0,78.0,288.0,71.0,53.0,39.0,102.0,4.0,254.0,87.0,516.0,27.0,16.0,10.0,7.0,30.0,20.0,3.0,113.0,37.0,129.0,61.0,37.0,66.0,4.0,35.0,10.0,3.0,221.0,5.0,22.0,484.0,65.0,12.0,63.0,158.0,16.0,8.0,3.0,319.0,72.0,29.0,10.0,146.0,5.0,61.0,11.0,11.0,5.0,211.0,6.0,201.0,147.0,69.0,16.0,21.0,15.0,11.0,75.0,95.0,4.0,28.0,92.0,9.0,0.0,31.0,10.0,17.0,6.0,20.0,4.0,43.0,5.0,12.0,168.0,2.0,108.0,16.0,12.0,16.0,35.0,10.0,35.0,5.0,8.0,1.0,0.0,11.0,20.0,0.0,10.0,4.0,1.0,2.0,246.0,9.0,317.0,6.0,14.0,1.0,86.0,4.0,35.0,1.0,384.0,43.0,18.0,181.0,203.0,2.0,11.0,4.0,2.0,31.0,3.0,46.0,3.0
Berlin,4723.0,2484.0,482.0,0.0,500.0,419.0,251.0,1129.0,54.0,175.0,163.0,25.0,83.0,1641.0,469.0,163.0,617.0,617.0,2527.0,2298.0,834.0,424.0,1287.0,889.0,349.0,61.0,219.0,81.0,751.0,243.0,127.0,52.0,62.0,74.0,106.0,196.0,712.0,165.0,578.0,173.0,87.0,60.0,195.0,175.0,42.0,11.0,122.0,89.0,59.0,342.0,132.0,44.0,162.0,526.0,694.0,187.0,296.0,1064.0,16.0,57.0,100.0,26.0,145.0,120.0,64.0,13.0,63.0,10.0,192.0,113.0,35.0,60.0,78.0,24.0,143.0,26.0,13.0,235.0,61.0,1392.0,206.0,17.0,8.0,420.0,26.0,3.0,149.0,111.0,50.0,9.0,257.0,11.0,20.0,111.0,68.0,45.0,480.0,41.0,74.0,56.0,14.0,20.0,21.0,214.0,63.0,67.0,3.0,1.0,444.0,30.0,295.0,38.0,49.0,15.0,6.0,103.0,33.0,27.0,2.0,5.0,1.0,2.0,6.0,31.0,15.0,18.0,7.0,5.0,12.0,12.0,18.0,5.0,12.0,5.0,98.0,13.0,50.0,0.0,11.0,24.0,13.0,5.0,9.0,7.0,3.0,15.0,6.0,670.0,0.0,71.0,10.0
Milan,2713.0,1022.0,730.0,500.0,0.0,591.0,138.0,2574.0,14.0,176.0,1140.0,3.0,285.0,162.0,111.0,82.0,84.0,83.0,726.0,501.0,467.0,117.0,161.0,146.0,96.0,164.0,1476.0,84.0,238.0,370.0,43.0,234.0,138.0,134.0,54.0,44.0,339.0,66.0,70.0,19.0,84.0,4.0,312.0,93.0,34.0,32.0,20.0,10.0,41.0,29.0,17.0,3.0,80.0,30.0,296.0,48.0,51.0,70.0,9.0,268.0,14.0,11.0,183.0,9.0,19.0,17.0,778.0,92.0,45.0,103.0,10.0,9.0,8.0,22.0,96.0,37.0,8.0,1041.0,8.0,76.0,29.0,4.0,12.0,1404.0,10.0,14.0,360.0,266.0,31.0,14.0,18.0,379.0,16.0,818.0,3.0,33.0,125.0,7.0,0.0,86.0,124.0,24.0,11.0,26.0,7.0,27.0,2.0,10.0,293.0,1.0,139.0,5.0,26.0,9.0,34.0,21.0,314.0,4.0,1.0,3.0,4.0,3.0,0.0,1.0,13.0,5.0,8.0,2.0,14.0,15.0,24.0,6.0,328.0,2.0,73.0,3.0,461.0,27.0,18.0,63.0,14.0,18.0,22.0,10.0,18.0,4.0,2.0,23.0,5.0,180.0,1.0
Barcelone,1696.0,648.0,2760.0,419.0,591.0,0.0,208.0,551.0,38.0,239.0,229.0,2.0,362.0,143.0,115.0,67.0,78.0,104.0,304.0,358.0,321.0,95.0,97.0,98.0,79.0,976.0,153.0,64.0,104.0,277.0,47.0,180.0,176.0,620.0,53.0,70.0,316.0,71.0,43.0,14.0,80.0,3.0,348.0,63.0,413.0,30.0,13.0,3.0,10.0,10.0,21.0,9.0,65.0,19.0,131.0,36.0,34.0,30.0,19.0,74.0,10.0,3.0,168.0,7.0,62.0,445.0,179.0,20.0,23.0,468.0,11.0,11.0,7.0,236.0,97.0,23.0,13.0,99.0,6.0,37.0,15.0,3.0,8.0,168.0,11.0,99.0,140.0,70.0,22.0,16.0,9.0,13.0,141.0,78.0,3.0,23.0,85.0,12.0,3.0,61.0,15.0,82.0,6.0,14.0,1.0,18.0,2.0,10.0,182.0,10.0,84.0,10.0,16.0,13.0,18.0,13.0,13.0,8.0,5.0,1.0,0.0,7.0,16.0,0.0,6.0,2.0,2.0,4.0,154.0,2.0,174.0,3.0,16.0,1.0,236.0,2.0,38.0,1.0,158.0,54.0,14.0,122.0,129.0,3.0,2.0,3.0,1.0,25.0,6.0,34.0,4.0
Athenes,957.0,520.0,130.0,251.0,138.0,208.0,0.0,690.0,21.0,76.0,104.0,3.0,39.0,44.0,106.0,79.0,61.0,48.0,153.0,177.0,138.0,77.0,36.0,35.0,69.0,26.0,69.0,13.0,61.0,93.0,89.0,24.0,44.0,47.0,24.0,128.0,74.0,14.0,11.0,3.0,42.0,2.0,109.0,21.0,9.0,9.0,10.0,3.0,408.0,6.0,13.0,1.0,8.0,22.0,68.0,30.0,11.0,30.0,4.0,32.0,8.0,2.0,47.0,7.0,46.0,0.0,26.0,19.0,21.0,30.0,11.0,15.0,1.0,8.0,18.0,10.0,3.0,104.0,8.0,26.0,5.0,4.0,8.0,138.0,13.0,2.0,37.0,42.0,12.0,9.0,6.0,1.0,8.0,34.0,2.0,13.0,47.0,11.0,2.0,26.0,13.0,20.0,1.0,9.0,1.0,11.0,0.0,0.0,65.0,6.0,29.0,5.0,4.0,2.0,10.0,3.0,14.0,6.0,0.0,6.0,0.0,1.0,1.0,2.0,4.0,2.0,9.0,1.0,4.0,10.0,8.0,1.0,4.0,2.0,31.0,9.0,22.0,0.0,10.0,10.0,7.0,3.0,8.0,1.0,2.0,7.0,1.0,20.0,2.0,13.0,4.0
Rome,6116.0,1673.0,1051.0,1129.0,2574.0,551.0,690.0,0.0,105.0,301.0,2771.0,10.0,115.0,230.0,217.0,109.0,192.0,183.0,1110.0,596.0,811.0,245.0,193.0,308.0,154.0,199.0,1087.0,61.0,278.0,861.0,111.0,83.0,210.0,169.0,98.0,117.0,349.0,74.0,103.0,28.0,189.0,16.0,587.0,288.0,33.0,21.0,120.0,10.0,116.0,86.0,25.0,9.0,33.0,47.0,297.0,127.0,47.0,164.0,10.0,502.0,26.0,2.0,244.0,30.0,21.0,55.0,855.0,145.0,107.0,435.0,25.0,37.0,12.0,22.0,151.0,16.0,14.0,2633.0,11.0,129.0,25.0,10.0,10.0,2139.0,25.0,10.0,341.0,305.0,40.0,11.0,40.0,170.0,44.0,1226.0,5.0,178.0,265.0,17.0,4.0,127.0,220.0,80.0,7.0,30.0,7.0,94.0,1.0,5.0,508.0,8.0,233.0,8.0,26.0,16.0,22.0,102.0,488.0,17.0,1.0,3.0,12.0,6.0,1.0,13.0,21.0,13.0,3.0,9.0,10.0,32.0,48.0,5.0,223.0,5.0,186.0,9.0,362.0,3.0,42.0,26.0,26.0,44.0,11.0,4.0,56.0,8.0,2.0,100.0,28.0,99.0,1.0
Birmingham,171.0,712.0,28.0,54.0,14.0,38.0,21.0,105.0,0.0,6.0,5.0,0.0,336.0,13.0,13.0,4.0,3.0,14.0,32.0,36.0,78.0,41.0,19.0,12.0,20.0,5.0,18.0,129.0,17.0,22.0,8.0,186.0,5.0,6.0,47.0,16.0,34.0,17.0,18.0,0.0,6.0,2.0,11.0,8.0,4.0,69.0,3.0,1.0,0.0,2.0,1.0,0.0,10.0,10.0,41.0,26.0,2.0,8.0,87.0,2.0,1.0,0.0,14.0,1.0,20.0,1.0,1.0,3.0,4.0,6.0,117.0,1.0,0.0,2.0,3.0,110.0,72.0,17.0,0.0,11.0,1.0,30.0,27.0,7.0,31.0,0.0,11.0,2.0,4.0,56.0,14.0,1.0,2.0,5.0,0.0,9.0,11.0,2.0,0.0,3.0,4.0,0.0,28.0,1.0,1.0,3.0,19.0,18.0,18.0,1.0,12.0,1.0,0.0,44.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,44.0,0.0,0.0,54.0,0.0,2.0,29.0,1.0,0.0,4.0,1.0,1.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,91.0,0.0,1.0,1.0,3.0,0.0
Lisbonne,807.0,428.0,500.0,175.0,176.0,239.0,76.0,301.0,6.0,0.0,99.0,1.0,53.0,67.0,68.0,49.0,60.0,20.0,173.0,96.0,212.0,82.0,43.0,27.0,60.0,78.0,69.0,27.0,58.0,77.0,37.0,40.0,602.0,135.0,41.0,39.0,153.0,32.0,11.0,5.0,39.0,1.0,121.0,52.0,33.0,13.0,7.0,6.0,5.0,16.0,18.0,3.0,14.0,25.0,34.0,27.0,16.0,28.0,5.0,28.0,8.0,0.0,93.0,7.0,29.0,19.0,38.0,6.0,36.0,52.0,16.0,4.0,3.0,21.0,37.0,11.0,8.0,65.0,3.0,26.0,0.0,5.0,19.0,116.0,4.0,9.0,93.0,33.0,12.0,7.0,2.0,16.0,17.0,49.0,2.0,18.0,37.0,14.0,2.0,10.0,6.0,28.0,1.0,9.0,2.0,15.0,1.0,1.0,83.0,0.0,31.0,0.0,1.0,12.0,10.0,5.0,20.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,4.0,1.0,1.0,1.0,17.0,9.0,26.0,3.0,4.0,5.0,25.0,2.0,18.0,1.0,24.0,18.0,10.0,28.0,36.0,0.0,0.0,3.0,0.0,12.0,2.0,16.0,2.0
Naples,979.0,411.0,241.0,163.0,1140.0,229.0,104.0,2771.0,5.0,99.0,0.0,2.0,41.0,53.0,30.0,27.0,50.0,36.0,377.0,136.0,129.0,18.0,52.0,41.0,24.0,107.0,442.0,6.0,55.0,121.0,12.0,40.0,75.0,62.0,17.0,12.0,71.0,14.0,12.0,7.0,30.0,1.0,249.0,64.0,15.0,3.0,6.0,0.0,15.0,16.0,7.0,4.0,15.0,24.0,51.0,10.0,6.0,58.0,0.0,588.0,9.0,0.0,68.0,1.0,3.0,24.0,526.0,122.0,18.0,82.0,15.0,9.0,4.0,10.0,23.0,3.0,3.0,850.0,2.0,49.0,4.0,5.0,12.0,859.0,4.0,6.0,94.0,27.0,7.0,5.0,13.0,72.0,31.0,423.0,2.0,21.0,28.0,2.0,4.0,38.0,217.0,76.0,1.0,6.0,0.0,35.0,0.0,0.0,119.0,0.0,28.0,1.0,4.0,12.0,2.0,10.0,148.0,3.0,0.0,0.0,99.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,20.0,1.0,36.0,0.0,67.0,4.0,54.0,2.0,132.0,0.0,13.0,9.0,3.0,52.0,7.0,0.0,147.0,0.0,0.0,10.0,19.0,28.0,0.0
Katowice,27.0,14.0,9.0,25.0,3.0,2.0,3.0,10.0,0.0,1.0,2.0,0.0,0.0,3.0,10.0,3.0,119.0,4.0,12.0,10.0,10.0,4.0,5.0,9.0,2.0,0.0,1.0,0.0,15.0,1.0,3.0,0.0,0.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,43.0,2.0,2.0,0.0,1.0,104.0,3.0,3.0,4.0,1.0,0.0,2.0,1.0,5.0,4.0,0.0,5.0,0.0,1.0,52.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,28.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,13.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,4.0,14.0,1.0,0.0,5.0,0.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0
Manchester,401.0,1064.0,389.0,83.0,285.0,362.0,39.0,115.0,336.0,53.0,41.0,0.0,0.0,34.0,21.0,20.0,23.0,24.0,46.0,270.0,62.0,23.0,23.0,18.0,34.0,74.0,56.0,235.0,38.0,61.0,4.0,971.0,75.0,65.0,89.0,13.0,118.0,47.0,15.0,3.0,70.0,8.0,107.0,23.0,32.0,291.0,10.0,5.0,2.0,6.0,1.0,2.0,94.0,20.0,26.0,14.0,20.0,10.0,188.0,4.0,22.0,5.0,57.0,2.0,16.0,5.0,9.0,3.0,12.0,27.0,119.0,3.0,2.0,17.0,33.0,320.0,123.0,18.0,4.0,26.0,1.0,59.0,66.0,15.0,55.0,1.0,33.0,26.0,2.0,203.0,4.0,4.0,8.0,8.0,1.0,15.0,27.0,4.0,3.0,12.0,6.0,5.0,64.0,0.0,1.0,8.0,53.0,67.0,21.0,1.0,68.0,1.0,2.0,143.0,23.0,2.0,2.0,1.0,0.0,0.0,0.0,113.0,0.0,0.0,116.0,0.0,3.0,73.0,4.0,2.0,11.0,2.0,2.0,10.0,42.0,1.0,10.0,1.0,9.0,64.0,10.0,2.0,17.0,0.0,0.0,58.0,0.0,6.0,0.0,10.0,0.0
Hambourg,792.0,587.0,263.0,1641.0,162.0,143.0,44.0,230.0,13.0,67.0,53.0,3.0,34.0,0.0,61.0,22.0,70.0,288.0,513.0,772.0,164.0,128.0,446.0,400.0,195.0,32.0,35.0,22.0,149.0,69.0,16.0,101.0,33.0,31.0,22.0,41.0,272.0,121.0,214.0,86.0,21.0,10.0,77.0,141.0,14.0,19.0,17.0,46.0,6.0,134.0,36.0,22.0,82.0,264.0,176.0,47.0,579.0,274.0,4.0,19.0,10.0,18.0,71.0,12.0,39.0,1.0,32.0,8.0,50.0,69.0,13.0,8.0,28.0,8.0,53.0,9.0,19.0,60.0,20.0,331.0,59.0,8.0,6.0,85.0,5.0,2.0,28.0,39.0,13.0,4.0,75.0,5.0,2.0,30.0,29.0,23.0,78.0,13.0,12.0,7.0,6.0,7.0,4.0,55.0,19.0,26.0,1.0,3.0,84.0,6.0,95.0,5.0,18.0,29.0,5.0,27.0,3.0,1.0,0.0,3.0,0.0,4.0,2.0,4.0,6.0,0.0,0.0,2.0,5.0,2.0,8.0,4.0,2.0,1.0,22.0,2.0,14.0,0.0,9.0,16.0,3.0,3.0,5.0,0.0,0.0,4.0,0.0,115.0,0.0,17.0,3.0
Budapest,827.0,360.0,110.0,469.0,111.0,115.0,106.0,217.0,13.0,68.0,30.0,10.0,21.0,61.0,0.0,137.0,179.0,45.0,780.0,200.0,166.0,95.0,63.0,51.0,47.0,26.0,59.0,28.0,326.0,57.0,68.0,12.0,25.0,39.0,23.0,84.0,114.0,26.0,25.0,9.0,25.0,10.0,31.0,30.0,9.0,4.0,43.0,3.0,14.0,24.0,25.0,5.0,22.0,16.0,95.0,24.0,11.0,52.0,3.0,11.0,18.0,2.0,32.0,11.0,18.0,6.0,14.0,4.0,34.0,25.0,6.0,17.0,8.0,3.0,21.0,8.0,4.0,48.0,10.0,66.0,12.0,4.0,3.0,84.0,6.0,0.0,29.0,13.0,131.0,1.0,13.0,5.0,5.0,18.0,4.0,15.0,51.0,20.0,5.0,16.0,6.0,3.0,4.0,6.0,3.0,8.0,3.0,0.0,95.0,1.0,29.0,4.0,27.0,4.0,1.0,6.0,16.0,7.0,1.0,7.0,0.0,0.0,0.0,4.0,3.0,6.0,3.0,0.0,4.0,88.0,9.0,11.0,6.0,2.0,20.0,9.0,10.0,2.0,3.0,6.0,3.0,1.0,2.0,2.0,0.0,1.0,12.0,15.0,4.0,13.0,2.0
Bucarest,549.0,150.0,96.0,163.0,82.0,67.0,79.0,109.0,4.0,49.0,27.0,3.0,20.0,22.0,137.0,0.0,103.0,19.0,176.0,67.0,96.0,41.0,26.0,16.0,30.0,16.0,22.0,11.0,108.0,36.0,100.0,18.0,13.0,20.0,13.0,15.0,51.0,11.0,13.0,6.0,19.0,5.0,39.0,8.0,10.0,6.0,16.0,3.0,16.0,6.0,12.0,0.0,11.0,4.0,31.0,6.0,9.0,21.0,1.0,8.0,10.0,1.0,27.0,6.0,6.0,0.0,7.0,3.0,19.0,25.0,3.0,11.0,0.0,4.0,21.0,5.0,0.0,24.0,7.0,23.0,2.0,0.0,1.0,28.0,1.0,0.0,33.0,25.0,15.0,0.0,1.0,3.0,5.0,19.0,1.0,1.0,34.0,7.0,0.0,9.0,6.0,6.0,1.0,8.0,1.0,6.0,0.0,0.0,40.0,1.0,12.0,3.0,3.0,2.0,4.0,2.0,3.0,1.0,0.0,102.0,0.0,0.0,0.0,5.0,0.0,199.0,3.0,0.0,3.0,288.0,5.0,141.0,3.0,76.0,29.0,6.0,7.0,0.0,2.0,16.0,13.0,3.0,2.0,130.0,1.0,0.0,125.0,12.0,1.0,3.0,3.0
Varsovie,1019.0,384.0,114.0,617.0,84.0,78.0,61.0,192.0,3.0,60.0,50.0,119.0,23.0,70.0,179.0,103.0,0.0,32.0,410.0,143.0,182.0,71.0,81.0,41.0,67.0,11.0,37.0,8.0,395.0,62.0,65.0,12.0,20.0,23.0,32.0,64.0,88.0,43.0,23.0,16.0,28.0,419.0,28.0,41.0,9.0,4.0,754.0,5.0,6.0,14.0,76.0,2.0,15.0,20.0,60.0,35.0,10.0,107.0,1.0,15.0,329.0,0.0,22.0,185.0,11.0,2.0,9.0,2.0,36.0,28.0,6.0,193.0,4.0,4.0,18.0,13.0,0.0,46.0,183.0,97.0,12.0,3.0,0.0,76.0,5.0,1.0,43.0,26.0,25.0,2.0,6.0,3.0,2.0,24.0,3.0,13.0,51.0,22.0,70.0,17.0,5.0,7.0,2.0,16.0,1.0,13.0,0.0,0.0,103.0,69.0,31.0,22.0,21.0,1.0,5.0,11.0,12.0,5.0,0.0,1.0,0.0,0.0,0.0,259.0,3.0,2.0,1.0,0.0,6.0,9.0,6.0,3.0,3.0,3.0,20.0,8.0,11.0,0.0,3.0,11.0,3.0,1.0,2.0,0.0,0.0,4.0,1.0,25.0,2.0,13.0,59.0
Stuttgart,430.0,195.0,222.0,617.0,83.0,104.0,48.0,183.0,14.0,20.0,36.0,4.0,24.0,288.0,45.0,19.0,32.0,0.0,274.0,577.0,99.0,100.0,264.0,201.0,42.0,23.0,28.0,19.0,79.0,43.0,14.0,12.0,10.0,30.0,12.0,39.0,62.0,31.0,107.0,100.0,19.0,5.0,35.0,19.0,2.0,2.0,8.0,22.0,5.0,110.0,9.0,13.0,81.0,91.0,187.0,31.0,76.0,117.0,2.0,9.0,5.0,13.0,36.0,7.0,41.0,5.0,12.0,1.0,24.0,22.0,0.0,2.0,26.0,5.0,19.0,9.0,5.0,30.0,2.0,133.0,104.0,1.0,0.0,42.0,5.0,0.0,28.0,26.0,9.0,3.0,136.0,2.0,0.0,12.0,19.0,8.0,139.0,6.0,2.0,13.0,2.0,4.0,5.0,53.0,8.0,11.0,2.0,0.0,69.0,0.0,99.0,4.0,6.0,2.0,6.0,53.0,6.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,3.0,9.0,2.0,0.0,3.0,0.0,13.0,1.0,12.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,1.0,0.0,56.0,1.0,7.0,0.0
Vienne,4115.0,1671.0,371.0,2527.0,726.0,304.0,153.0,1110.0,32.0,173.0,377.0,12.0,46.0,513.0,780.0,176.0,410.0,274.0,0.0,1327.0,657.0,238.0,495.0,363.0,206.0,258.0,220.0,42.0,1114.0,917.0,104.0,48.0,38.0,66.0,63.0,90.0,405.0,84.0,184.0,38.0,66.0,31.0,213.0,162.0,22.0,13.0,227.0,25.0,31.0,183.0,48.0,8.0,53.0,184.0,483.0,81.0,61.0,448.0,7.0,52.0,35.0,1.0,500.0,44.0,28.0,26.0,154.0,12.0,135.0,169.0,15.0,39.0,23.0,7.0,93.0,11.0,9.0,320.0,15.0,444.0,99.0,3.0,6.0,784.0,19.0,1.0,191.0,95.0,187.0,4.0,85.0,24.0,11.0,157.0,10.0,74.0,256.0,20.0,3.0,649.0,13.0,51.0,14.0,86.0,12.0,53.0,4.0,0.0,559.0,9.0,285.0,8.0,152.0,8.0,17.0,126.0,72.0,13.0,0.0,10.0,0.0,3.0,1.0,22.0,7.0,24.0,3.0,4.0,6.0,49.0,19.0,29.0,21.0,4.0,78.0,13.0,89.0,1.0,9.0,13.0,13.0,4.0,8.0,14.0,6.0,1.0,8.0,142.0,5.0,58.0,1.0
Munich,1861.0,768.0,473.0,2298.0,501.0,358.0,177.0,596.0,36.0,96.0,136.0,10.0,270.0,772.0,200.0,67.0,143.0,577.0,1327.0,0.0,290.0,128.0,679.0,533.0,125.0,61.0,101.0,67.0,356.0,164.0,48.0,121.0,75.0,70.0,45.0,68.0,279.0,52.0,427.0,73.0,63.0,25.0,168.0,81.0,35.0,17.0,64.0,62.0,8.0,408.0,38.0,35.0,279.0,206.0,423.0,63.0,200.0,409.0,12.0,29.0,29.0,31.0,119.0,18.0,30.0,13.0,39.0,4.0,63.0,56.0,16.0,17.0,34.0,11.0,54.0,28.0,21.0,183.0,13.0,454.0,174.0,3.0,3.0,226.0,9.0,1.0,69.0,54.0,32.0,18.0,190.0,16.0,11.0,78.0,21.0,24.0,256.0,11.0,7.0,44.0,9.0,15.0,5.0,101.0,24.0,22.0,5.0,1.0,232.0,2.0,201.0,10.0,19.0,15.0,24.0,280.0,27.0,6.0,0.0,2.0,0.0,8.0,0.0,8.0,13.0,7.0,2.0,4.0,3.0,10.0,7.0,7.0,5.0,4.0,60.0,8.0,65.0,1.0,9.0,29.0,6.0,0.0,12.0,4.0,1.0,4.0,5.0,210.0,1.0,26.0,0.0
Bruxelles,5860.0,1802.0,408.0,834.0,467.0,321.0,138.0,811.0,78.0,212.0,129.0,10.0,62.0,164.0,166.0,96.0,182.0,99.0,657.0,290.0,0.0,237.0,246.0,335.0,168.0,57.0,177.0,53.0,206.0,489.0,44.0,48.0,51.0,54.0,89.0,86.0,886.0,191.0,108.0,52.0,791.0,9.0,370.0,2106.0,29.0,13.0,35.0,12.0,22.0,25.0,46.0,7.0,32.0,59.0,255.0,124.0,31.0,74.0,7.0,28.0,20.0,2.0,321.0,13.0,21.0,10.0,45.0,11.0,318.0,264.0,15.0,21.0,16.0,21.0,200.0,22.0,7.0,158.0,8.0,92.0,19.0,13.0,4.0,238.0,13.0,2.0,223.0,1869.0,20.0,6.0,29.0,13.0,16.0,100.0,3.0,144.0,455.0,19.0,3.0,97.0,6.0,46.0,14.0,20.0,6.0,110.0,2.0,0.0,575.0,3.0,137.0,6.0,13.0,12.0,41.0,28.0,28.0,8.0,0.0,3.0,0.0,1.0,0.0,6.0,12.0,5.0,1.0,6.0,12.0,17.0,17.0,4.0,11.0,1.0,142.0,2.0,18.0,0.0,8.0,33.0,1007.0,2.0,4.0,2.0,1.0,7.0,2.0,71.0,1.0,1363.0,2.0
